0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:1'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:1 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:2 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:2 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:3 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:3 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:4 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:4 '1:2', '2:1', '3:1', '4:1', '5:0', '6:1'
0 qid:5 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:6 '1:1', '2:2', '3:0', '4:0', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:6 '1:1', '2:2', '3:0', '4:0', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:2', '3:0', '4:0', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
1 qid:6 '1:1', '2:4', '3:1', '4:1', '5:1', '6:0'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:1'
0 qid:6 '1:1', '2:4', '3:1', '4:1', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:7 '1:6', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:8 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:9 '1:4', '2:4', '3:0', '4:0', '5:1', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:4', '3:0', '4:0', '5:0', '6:0'
0 qid:9 '1:4', '2:3', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:1'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:null', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:10 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:11 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
0 qid:11 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
1 qid:11 '1:2', '2:1', '3:1', '4:1', '5:0', '6:1'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:12 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:1'
0 qid:13 '1:1', '2:-1', '3:0', '4:0', '5:0', '6:0'
0 qid:13 '1:1', '2:1', '3:0', '4:0', '5:0', '6:0'
0 qid:14 '1:2', '2:0', '3:0', '4:0', '5:0', '6:0'
